Reference,Species,Taxonomic group,Latitude or elevation,Warm edge,Local extinction,Latitude,Habitat,Geographic region,DateStart,DateEnd,Method,Mobility,Include,Include.reason,Notes
Pitt et al. 2010,Actinia tenebrosa,Other invertebrates,Latitude,Expansion,Persisting,-42,Marine,Australia,1955,2007,"Two times, many locations",sessile,TRUE,,Intertidal
Pitt et al. 2010,Patiriella calcar,Other invertebrates,Latitude,Expansion,Persisting,-42,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Pitt et al. 2010,Austrocochlea constricta,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Pitt et al. 2010,Notoacmea mayi,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Pitt et al. 2010,Xenostrobus pulex,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",sessile,TRUE,,Intertidal
Pitt et al. 2010,Patiriella exigua,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Beaugrand et al. 2009,Cold-temperate mixed-water species,Other invertebrates,Latitude,Contraction,Local extinction,43,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Subarctic species,Other invertebrates,Latitude,Contraction,Local extinction,50,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Shallow water species assemblage,Other invertebrates,Latitude,Contraction,Local extinction,51,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Continental shelf species assemblage,Other invertebrates,Latitude,Contraction,Local extinction,43,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Arctic species assemblage,Other invertebrates,Latitude,Contraction,Local extinction,60,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Perry et al. 2005,Anarhichas lupus,Fish,Latitude,Contraction,Local extinction,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Glyptocephalus cynoglossus,Fish,Latitude,Contraction,Local extinction,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Lepidorhombus boscii,Fish,Latitude,Contraction,Local extinction,61,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Micromesistius poutassou,Fish,Latitude,Contraction,Local extinction,60,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Molva molva,Fish,Latitude,Contraction,Local extinction,59,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Trisopterus esmarkii,Fish,Latitude,Contraction,Local extinction,59,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Gadiculus argenteus,Fish,Latitude,Stable,Persisting,60,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Hippoglossoides platessoides,Fish,Latitude,Stable,Persisting,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Leucoraja naevus,Fish,Latitude,Stable,Persisting,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Melanogrammus aeglefinus,Fish,Latitude,Stable,Persisting,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Pollachius virens,Fish,Latitude,Stable,Persisting,59,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Sebastes spp.,Fish,Latitude,Stable,Persisting,60,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Nye et al. 2009,Squalus acanthias,Fish,Latitude,Stable,Persisting,36,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Leucoraja ocellata,Fish,Latitude,Expansion,Persisting,36,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Leucoraja erinacea,Fish,Latitude,Stable,Persisting,37,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Amblyraja radiata,Fish,Latitude,Stable,Persisting,41,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Clupea harengus,Fish,Latitude,Stable,Persisting,36,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Alosa pseudoharengus,Fish,Latitude,Contraction,Local extinction,36,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Alosa sapidissima,Fish,Latitude,Stable,Persisting,37,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Merluccius bilinearis,Fish,Latitude,Stable,Persisting,36,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Southern stock. Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Gadus morhua,Fish,Latitude,Stable,Persisting,37,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Georges Bank stock. Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Melanogrammus aeglefinus,Fish,Latitude,Stable,Persisting,41,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Georges Bank stock. Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Pollachius virens,Fish,Latitude,Contraction,Local extinction,40,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Both range edges contracted,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Urophycis tenuis,Fish,Latitude,Contraction,Local extinction,40,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Urophycis chuss,Fish,Latitude,Stable,Persisting,36,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Southern stock. Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Urophycis regia,Fish,Latitude,Stable,Persisting,36,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Brosme brosme,Fish,Latitude,Contraction,Local extinction,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Both range edges contracted,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Hippoglossus hippoglossus,Fish,Latitude,Contraction,Local extinction,41,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Hippoglossoides platessoides,Fish,Latitude,Stable,Persisting,40,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Paralichthys dentatus,Fish,Latitude,Stable,Persisting,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Paralichthys oblongus,Fish,Latitude,Stable,Persisting,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Limanda ferriginea,Fish,Latitude,Contraction,Local extinction,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Both range edges contracted,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Pseudopleuronectes americanus,Fish,Latitude,Contraction,Local extinction,37,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat from Pereira et al. 1999 Winter flounder EFH https://www.nefsc.noaa.gov/publications/tm/tm138/tm138.pdf
Nye et al. 2009,Scophthalmus aquosus,Fish,Latitude,Stable,Persisting,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Scomber scombrus,Fish,Latitude,Stable,Persisting,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Sebastes fasciatus,Fish,Latitude,Contraction,Local extinction,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Both range edges contracted,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Helicolenus dactylopterus,Fish,Latitude,Stable,Persisting,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Myoxocephalus octodecemspinosus,Fish,Latitude,Stable,Persisting,39,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Lophius americanus,Fish,Latitude,Stable,Persisting,,Marine,North America,1968,2007,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Hemitripterus americanus,Fish,Latitude,Contraction,Local extinction,39,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Anarhichas lupus,Fish,Latitude,Contraction,Local extinction,41,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Nye et al. 2009,Zoarces americanus,Fish,Latitude,Contraction,Local extinction,38,Marine,North America,1968,2007,"Many times, many locations",mobile,TRUE,,Min lat 1968 from OceanAdapt maps since not in Nye et al. 2009
Parmesan et al. 1999,Parnassius apollo,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Italy (RedList). Times a guess based on H. tityrus.
Parmesan et al. 1999,Parnassius mnemosyne,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (RedList). Times a guess based on H. tityrus.
Parmesan et al. 1999,Everes argiades,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (http://www.eurobutterflies.com/sp/argiades.php). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Glaucopsyche alexis,Butterflies,Latitude,Contraction,Local extinction,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.learnaboutbutterflies.com/Europe%20-%20Glaucopsyche%20alexis.htm). Time a guess based on supplement information about Africa.
Parmesan et al. 1999,Heodes tityrus,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,"Fig. 4. Dates are very rough (first half of century, and guessing at when a later date would be)."
Parmesan et al. 1999,Hamearis lucina,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (https://en.wikipedia.org/wiki/Hamearis_lucina). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Clossiana dia,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (http://www.eurobutterflies.com/sp/dia.php). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Clossiana selene,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (http://www.eurobutterflies.com/sp/selene.php). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Aphantopus hyperantus,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (https://en.wikipedia.org/wiki/Ringlet). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Minois dryas,Butterflies,Latitude,Contraction,Local extinction,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (http://www.pyrgus.de/Minois_dryas_en.html). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Aporia crataegi,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (footnote in Table 2). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Agrodiaetus amanda,Butterflies,Latitude,Stable,Persisting,44,Terrestrial,Europe,1960,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in central Europe (https://en.wikipedia.org/wiki/Polyommatus_amandus). Time is a guess based on Supplement description of data for France
Parmesan et al. 1999,Celastrina argiolus,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.learnaboutbutterflies.com/Britain%20-%20Celastrina%20argiolus.htm). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Cupido minimus,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (http://www.learnaboutbutterflies.com/Britain%20-%20Cupido%20minimus.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Heodes alciphron,Butterflies,Latitude,Stable,Persisting,44,Terrestrial,Europe,1960,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in central Europe (http://www.gbif.org/species/1927841). Time is a guess based on Supplement description of data for France
Parmesan et al. 1999,Heodes virgaureae,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (https://en.wikipedia.org/wiki/Scarce_copper). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Quercusia quercus,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.learnaboutbutterflies.com/Britain%20-%20Quercusia%20quercus.htm). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Strymonidia w-album,Butterflies,Latitude,Stable,Persisting,44,Terrestrial,Europe,1960,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in central Europe (https://fi.wikipedia.org/wiki/Jalavanopsasiipi). Time is a guess based on Supplement description of data for France
Parmesan et al. 1999,Thecla betulae,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Spain (http://www.learnaboutbutterflies.com/Britain%20-%20Thecla%20betulae.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Apatura ilia,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Portugal (http://www.learnaboutbutterflies.com/Asia%20temperate%20-%20Apatura%20ilia.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Apatura iris,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (http://www.learnaboutbutterflies.com/Britain%20-%20Apatura%20iris.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Argynnis adippe,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in most of Europe (http://www.learnaboutbutterflies.com/Britain%20-%20Argynnis%20adippe.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Argynnis paphia,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Spain (http://www.learnaboutbutterflies.com/Britain%20-%20Argynnis%20paphia.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Brenthis daphne,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in Spain (https://en.wikipedia.org/wiki/Brenthis_daphne). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Clossiana euphrosyne,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Spain (http://www.learnaboutbutterflies.com/Britain%20-%20Clossiana%20euphrosyne.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Limenitis camilla,Butterflies,Latitude,Stable,Persisting,44,Terrestrial,Europe,1960,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in central Europe (http://www.learnaboutbutterflies.com/Britain%20-%20Limenitis%20camilla.htm). Time is a guess based on Supplement description of data for France
Parmesan et al. 1999,Limenitis populi,Butterflies,Latitude,Stable,Persisting,44,Terrestrial,Europe,1960,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in southeast France (http://www.eurobutterflies.com/sp/populi.php). Time is a guess based on Supplement description of data for France
Parmesan et al. 1999,Limenitis reducta,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in southern Europe (http://www.learnaboutbutterflies.com/Europe%20-%20Limenitis%20reducta.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Polygonum c-album,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (https://en.wikipedia.org/wiki/Polygonia_c-album). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Coenonympha arcania,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Spain (http://www.learnaboutbutterflies.com/Europe%20-%20Coenonympha%20arcania.htm). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Lasiommata maera,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.eurobutterflies.com/sp/maera.php). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Maniola jurtina,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.learnaboutbutterflies.com/Britain%20-%20Maniola%20jurtina.htm). Time is a guess based on supplement description of Africa data
