Reference,Species,Taxonomic group,Latitude or elevation,Warm edge,Local extinction,Latitude,Habitat,Geographic region,DateStart,DateEnd,Method,Mobility,Include,Include.reason,Notes
Parmesan et al. 1999,Melanargia galathea,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.learnaboutbutterflies.com/Britain%20-%20Melanargia%20galathea.htm). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Neohipparchia statilinus,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.eurobutterflies.com/sp/statilinus.php). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Pyronia tithonus,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.eurobutterflies.com/sp/tithonus.php). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Carterocephalus palaemon,Butterflies,Latitude,Stable,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,"Fig. 2. Dates are very rough (first half of century, and guessing at when a later date would be)."
Parmesan et al. 1999,Thymelicus acteon,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (footnote in Table 2). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Thymelicus sylvestris,Butterflies,Latitude,Stable,Persisting,34,Terrestrial,Africa,1900,1992,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Africa (http://www.learnaboutbutterflies.com/Britain%20-%20Thymelicus%20sylvestris.htm). Time is a guess based on supplement description of Africa data
Parmesan et al. 1999,Brenthis ino,Butterflies,Latitude,Expansion,Persisting,42,Terrestrial,Europe,1925,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in northern Spain (http://www.eurobutterflies.com/sp/ino.php). Times a guess based on Heodes tityrus
Parmesan et al. 1999,Araschnia levana,Butterflies,Latitude,Expansion,Persisting,44,Terrestrial,Europe,1960,1995,"Many times, many locations",mobile,TRUE,,Latitude is a guess based on occurrence in France (http://www.eurobutterflies.com/sp/levana.php). Time is a guess based on Supplement description of data for France
Hickling et al. 2005,Coenagrion hastulatum,Dragonflies,Latitude,Stable,Persisting,57,Terrestrial,Europe,1965,1990,"Two times, many locations",mobile,TRUE,,<30km considered stable. Found in Scottish Highlands (https://british-dragonflies.org.uk/category/species/coenagrion-hastulatum)
Hickling et al. 2005,Somatochlora arctica,Dragonflies,Latitude,Stable,Persisting,57,Terrestrial,Europe,1965,1990,"Two times, many locations",mobile,TRUE,,<30km considered stable. Found in NW Scotland (https://british-dragonflies.org.uk/category/species/somatochlora-arctica)
Hickling et al. 2005,Aeshna caerulea,Dragonflies,Latitude,Contraction,Local extinction,55,Terrestrial,Europe,1965,1990,"Two times, many locations",mobile,TRUE,,Based on map: https://british-dragonflies.org.uk/species/azure-hawker
Hickling et al. 2005,Leucorrhinia dubia,Dragonflies,Latitude,Contraction,Local extinction,51,Terrestrial,Europe,1965,1990,"Two times, many locations",mobile,TRUE,,Based on map: https://british-dragonflies.org.uk/species/white-faced-darter
Franco et al. 2006,Aricia artaxerxes,Butterflies,Latitude,Contraction,Local extinction,55,Terrestrial,Europe,1984.5,2004.5,"Two times, many locations",mobile,TRUE,,http://www.ukbutterflies.co.uk/distribution.php?species=artaxerxes&style=distribution
Franco et al. 2006,Erebia aethiops,Butterflies,Latitude,Contraction,Local extinction,55,Terrestrial,Europe,1984.5,2004.5,"Two times, many locations",mobile,TRUE,,http://www.ukbutterflies.co.uk/distribution.php?species=aethiops&style=distribution
Hiddink et al. (2015),Abra alba,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Abra prismatica,Mollusc,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Ampelisca brevicornis,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Ampelisca macrocephala,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Ampelisca tenuicornis,Crustacean,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Amphictene auricoma,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Amphiura filiformis,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Anaitides groenlandica,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Anaitides rosea,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Anobothrus gracilis,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Aonides paucibranchiata,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Arctica islandica,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Bathyporeia elegans,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Bathyporeia guilliamsoniana,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Bathyporeia tenuipes,Crustacean,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Callianassa subterranea,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Chaetoderma nitidulum,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Chaetozone setosa,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Chamelea gallina,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Corbula gibba,Mollusc,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Corystes cassivelaunus,Crustacean,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Cylichna cylindracea,Mollusc,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Diastylis bradyi,Crustacean,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Diplocirrus glaucus,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Echinocardium cordatum,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Echinocyamus pusillus,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Eudorella truncatula,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Eudorellopsis deformis,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Fabulina fabula,Mollusc,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Glycera alba,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Glycera lapidum,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Glycinde nordmanni,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Goniada maculata,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Harpinia antennaria,Crustacean,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Hippomedon denticulatus,Crustacean,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Lagis koreni,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Lanice conchilega,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Levinsenia gracilis,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Lucinoma borealis,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Magelona alleni,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Mysella bidentata,Mollusc,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Nephtys caeca,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Nephtys cirrosa,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Nephtys hombergii,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Nephtys longosetosa,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Notomastus latericeus,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Nucula nitidosa,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Nuculoma tenuis,Mollusc,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Ophelina acuminata,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Ophiodromus flexuosus,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Ophiura albida,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Owenia fusiformis,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Phaxas pellucidus,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Poecilochaetus serpens,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Scalibregma inflatum,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Scolelepis bonnieri,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Scoloplos armiger,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Spio filicornis,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Spiophanes bombyx,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Spiophanes kroeyeri,Other invertebrates,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Sthenelais limicola,Other invertebrates,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Tellimya ferruginosa,Mollusc,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Thracia phaseolina,Mollusc,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",sessile,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Urothoe poseidonis,Crustacean,Latitude,Expansion,Persisting,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Hiddink et al. (2015),Westwoodilla caecula,Crustacean,Latitude,Contraction,Local extinction,55,Marine,Europe,1986,2000,"Two times, many locations",crawl,TRUE,,Generic latitude for the North Sea
Rubal et al. 2013,Gibbula umbilicalis,Mollusc,Latitude,Stable,Persisting,,Marine,Europe,1917,2011,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Also 1940. Intertidal
Rubal et al. 2013,Littorina saxatilis,Mollusc,Latitude,Contraction,Local extinction,38,Marine,Europe,1917,2011,"Many times, many locations",mobile,TRUE,,Also 1940. Intertidal
Rubal et al. 2013,Nucella lapillus,Mollusc,Latitude,Contraction,Local extinction,38,Marine,Europe,1917,2011,"Many times, many locations",mobile,TRUE,,Also 1940. Intertidal
Rubal et al. 2013,Osilinus lineatus,Mollusc,Latitude,Stable,Persisting,,Marine,Europe,1917,2011,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Also 1940. Intertidal
Rubal et al. 2013,Patella depressa,Mollusc,Latitude,Stable,Persisting,,Marine,Europe,1917,2011,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Also 1940. Intertidal
Rubal et al. 2013,Patella vulgata,Mollusc,Latitude,Stable,Persisting,37,Marine,Europe,1960,2011,"Many times, many locations",mobile,TRUE,,Based on Discussion: southern limit same as Fisher-Piette 1960. Intertidal
Rubal et al. 2013,Siphonaria pectinata,Mollusc,Latitude,Stable,Persisting,,Marine,Europe,1917,2011,"Many times, many locations",mobile,FALSE,Can't see southern range limit,Also 1940. Intertidal
Wu 2016 Environmental Management,Pseudoxenodon karlschmidti,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Environmental Management,Pseudoxenodon stejnegeri,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,TRUE,,
Wu 2016 Environmental Management,Rhabdophis nuchalis,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Environmental Management,Sibynophis chinensis,Reptile,Latitude,Stable,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Environmental Management,Sinomicrurus macclellandi,Reptile,Latitude,Stable,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Environmental Management,Sinomicrurus kelloggi,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Environmental Management,Azemiops feae,Reptile,Latitude,Stable,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Environmental Management,Gloydius intermedius,Reptile,Latitude,Expansion,Persisting,34,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,TRUE,,
Wu 2016 Environmental Management,Ovophis monticola,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Theoretical and Applied Climatology,Alsophylax przewalskii,Reptile,Latitude,Stable,Persisting,40,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,TRUE,,
Wu 2016 Theoretical and Applied Climatology,Japalura micangshanensis,Reptile,Latitude,Expansion,Persisting,33,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,TRUE,,
Wu 2016 Theoretical and Applied Climatology,Takydromus septentrionalis,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Theoretical and Applied Climatology,Eumeces capito,Reptile,Latitude,Expansion,Persisting,30,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,TRUE,,
Wu 2016 Theoretical and Applied Climatology,Eumeces chinensis,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Theoretical and Applied Climatology,Scincella reevesii,Reptile,Latitude,Stable,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Theoretical and Applied Climatology,Sphenomorphus maculatus,Reptile,Latitude,Stable,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Theoretical and Applied Climatology,Tropidophorus hainanus,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,
Wu 2016 Theoretical and Applied Climatology,Hemiphyllodactylus yunnanensis,Reptile,Latitude,Expansion,Persisting,22,Terrestrial,Asia,1965,2005,"Many times, many locations",crawl,FALSE,Can't see southern range limit in the data,