Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat,lon,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,habitat,citation,citation_details_or_paper_in_which_data_were_compiled,notes.2017
Stegastes,acapulcoensis,crit,26.5,90,field_fresh,,37.7,2.96,-78.2,,0,Chordata,Actinopterygii,Perciformes,Pomacentridae,marine,Mora_and_Ospina_2001;_2002,Sunday_et_al_PRSB_2011,added acclimation
Thalassoma,lucasanum,crit,26.5,90,field_fresh,,36,2.96,-78.2,,0,Chordata,Actinopterygii,Perciformes,Labridae,marine,Mora_and_Ospina_2001;_2002,Sunday_et_al_PRSB_2011,added acclimation
Abudefduf,saxatilis,leth,30,90,field_fresh,,40,9.5,-78,,0,Chordata,Actinopterygii,Perciformes,Pomacentridae,marine,Scholander_et_al1953,Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92,
Haemulon,bonariense,leth,30,90,field_fresh,,40,9.5,-78,,0,Chordata,Actinopterygii,Perciformes,Haemulidae,marine,Scholander_et_al1953,Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92,
Lutjanus,apodus,leth,30,90,field_fresh,,40,9.5,-78,,0,Chordata,Actinopterygii,Perciformes,Lutjanidae,marine,Scholander_et_al1953,Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92,
Scarus,iseri,leth,30,90,field_fresh,,35,9.5,-78,,0,Chordata,Actinopterygii,Perciformes,Labridae,marine,Scholander_et_al1953,Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92,
Ambystoma,jeffersonianum,crit,10,NA,,,34,40.23,-76.85,,422.2,Chordata,Amphibia,Caudata,Ambystomatidae,terrestrial,Gatz_1971,Sunday_et_al_PNAS_2014,
Argopecten,purpuratus,leth,19,7,lab,,29,-14.25,-76.2,,0,Mollusca,Bivalvia,Pectinoida,Pectinidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Gari,solida,leth,16,7,lab,,26.9,-14.25,-76.2,,0,Mollusca,Bivalvia,Veneroida,Psammobiidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Semele,corrugata,leth,16,7,lab,,30.6,-14.25,-76.2,,0,Mollusca,Bivalvia,Veneroida,Semelidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Semele,solida,leth,16,7,lab,,28.5,-14.25,-76.2,,0,Mollusca,Bivalvia,Veneroida,Semelidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Gemma,gemma,leth,30,NA,lab,,37,37.11,-76.13,,0,Mollusca,Bivalvia,Veneroida,Veneridae,marine,Kennedy_and_Mihursky_1971,Chesapeake_Science_(1971)_12:_193,added acclimation but could not find duration description
Mulinia,lateralis,leth,25,NA,lab,,33.5,37.11,-76.13,,0,Mollusca,Bivalvia,Veneroida,Mactridae,marine,Kennedy_and_Mihursky_1971,Chesapeake_Science_(1971)_12:_193,added acclimation but could not find duration description
Mya,arenaria,leth,30,NA,lab,,32.5,37.11,-76.13,,0,Mollusca,Bivalvia,Myoida,Myidae,marine,Kennedy_and_Mihursky_1971,Chesapeake_Science_(1971)_12:_193,added acclimation but could not find duration description
Rana,virgatipes,crit,25,NA,,,38,40.1,-74.8,,24,Chordata,Amphibia,Anura,Ranidae,terrestrial,Holzman_1973,Sunday_et_al_PNAS_2014,
Misumenoides,formosipes,crit,22.8,NA,,,48.2,40.5,-74.5,,36.9,Arthropoda,Arachnida,Araneae,Thomisidae,terrestrial,Schmalhofer_1999,Sunday_et_al_PRSB_2011,
Misumenops,asperatus,crit,16.5,NA,,,45.1,40.5,-74.5,,36.9,Arthropoda,Arachnida,Araneae,Thomisidae,terrestrial,Schmalhofer_1999,Sunday_et_al_PRSB_2011,
Hyla,labialis,crit,25,NA,,,38.6,4.38,-74.13,,3050,Chordata,Amphibia,Anura,Hylidae,terrestrial,Mahoney_and_Hutchison_1969,Sunday_et_al_PNAS_2014,
Menidia,menidia,leth,28,5,lab,,32.5,40,-74,,0,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,marine,Hoff_and_Westman_1966_in_Brett_1970,Sunday_et_al_PRSB_2011,added acclimation; duration reported as 2-30 days.
Pseudopleuronectes,americanus,leth,28,5,lab,,29.1,40,-74,,0,Chordata,Actinopterygii,Atheriniformes,Pleuronectidae,marine,Hoff_and_Westman_1966_in_Brett_1971,Sunday_et_al_PRSB_2011,added acclimation; duration reported as 2-30 days.
Sphoeroides,maculatus,leth,28,5,lab,,32.5,40,-74,,0,Chordata,Actinopterygii,Tetraodontiformes,Tetradontidae,marine,Hoff_and_Westman_1966_in_Brett_1972,Sunday_et_al_PRSB_2011,added acclimation; duration reported as 2-30 days.
Pungitius,pungitius,leth,5,90,field_fresh,summer and autumn,20,40,-74,,0,Chordata,Actinopterygii,Perciformes,Gasterosteidae,marine,Scholander_et_al1953,Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92,
Rana,catesbeiana,crit,23,NA,,,33.6,40.74,-73.95,,304.8,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Rana,clamitans,crit,23,NA,,,35,40.74,-73.95,,304.8,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Rana,palustris,crit,23,NA,,,31.3,40.74,-73.95,,304.8,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Spea,holbrooki,crit,23,NA,,,34,40.74,-73.95,,304.8,Chordata,Amphibia,Anura,Scaphiopodidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Aulacomya,atra,leth,13,7,lab,,25.6,-36.5,-73.9,,0,Mollusca,Bivalvia,Mytiloida,Mytilidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Choromytilus,chorus,leth,13,7,lab,,26.3,-36.5,-73.9,,0,Mollusca,Bivalvia,Mytiloida,Mytilidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Ensis,macha,leth,13,7,lab,,25,-36.5,-73.9,,0,Mollusca,Bivalvia,Veneroida,Pharidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Protothaca,thaca,leth,13,7,lab,,28.1,-36.5,-73.9,,0,Mollusca,Bivalvia,Veneroida,Veneridae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Tagelus,dombeii,leth,13,7,lab,,25.1,-36.5,-73.9,,0,Mollusca,Bivalvia,Veneroida,Solecurtidae,marine,Urban_1994,Marine_Ecology_Progress_Series_107:_139-145_1994,added acclimation
Venus,antiqua,leth,13,7,lab,,25.6,-36.5,-73.9,,0,Mollusca,Bivalvia,Veneroida,Veneridae,marine,Urban_1994,MarineEcologyProgressSeries107:139-1451994,added acclimation
Phymaturus,patagonicus,crit,30,90,field_fresh,,39.9,-41,-71,,900,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Ibarguengoytia_2005,Sunday_et_al_PRSB_2011,acclimation data added; field temperature taken from mean of body temps
Anolis,shrevei,crit,29.2,NA,,,40.1,18.8,-70.7,,2200,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,Hertz_Huey_1981,Sunday_et_al_PNAS_2014,
Anolis,cybotes,crit,29.9,NA,,,39,19.2,-70.6,,1150,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,Hertz_Huey_1981,Sunday_et_al_PNAS_2014,
Bufo,woodhousii_fowleri,crit,22,NA,,,41.1,41.779,-70.103,,15,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Sherman_1970,Sunday_et_al_PNAS_2014,
Tautogolabrus,adspersus,leth,20,90,field_fresh,,30,42,-70,,0,Chordata,Actinopterygii,Perciformes,Labridae,marine,Brett_1970,Sunday_et_al_PRSB_2011,added duration of acclimation
Liolaemus,kriegi,crit,29,NA,,,43.67,-42.07833333,-69.51715,,950,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,cf_elongatus,crit,29,NA,,,45.1,-41.88333333,-69.36666667,,1850,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_2005,Sunday_et_al_PNAS_2014,
Liolaemus,cf._elongatus,crit,29,NA,,,45.1,-41.88333333,-69.36666667,,700,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,rothi,crit,29,NA,,,43.8,-40.2863,-68.45448333,,500,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,petrophilus,crit,29,NA,,,45.23,-42.2606,-68.4115,,900,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,sp2,crit,29,NA,,,44.7,-40.44288333,-68.3728,,200,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_2005,Sunday_et_al_PNAS_2014,
Liolaemus,multicolor,crit,29,NA,,,44.7,-40.44288333,-68.3728,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,canqueli,crit,29,NA,,,44.6,-44.03771,-68.35657,,900,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,bibronii,crit,29,NA,,,44.53,-40.26955,-68.22613,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,poecilochromus,crit,29,NA,,,44.16,-27.52333333,-68.12583333,,3500,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Laternula,elliptica,leth,-0.5,90,field_fresh,,9,-67.5,-68,,0,Mollusca,Bivalvia,Pholadomyoida,Laternulidae,marine,Peck_et_al_2002,Sunday_et_al_PRSB_2011,added acclimation; took a mean from field data and short acclimation in lab; cold tolerance was artificial
Adamussium,colbecki,leth,NA,NA,,,4,-67.5,-68,,0,Mollusca,Bivalvia,Ostreoida,Pectinidae,marine,Peck_et_al_2004,Sunday_et_al_PRSB_2011,The LT50 was from a different study: Bailey PhD thesis. No acclimation given.
Odontaster,validus,leth,0,28,lab,,15,-67.5,-68,,0,Echinodermata,Asteroidea,Valvatida,Odontasteridae,marine,Peck_et_al_2008,Sunday_et_al_PRSB_2011,added acclimation; cold tolerance was artificial
Liolaemus,olongasta,crit,29,NA,,,44.58,-29.81666667,-67.95,,900,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,capillitas,crit,29,NA,,,43.7,-29.73333333,-67.75,,3300,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_2005,Sunday_et_al_PNAS_2014,
Liolaemus,cf._capillitas,crit,29,NA,,,43.7,-29.73333333,-67.75,,2500,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,riojanus,crit,29,NA,,,45.2,-30.20433333,-67.66883333,,500,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,salinicola,crit,29,NA,,,48.21,-27.47616667,-67.64016667,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,darwinii,crit,29,NA,,,44.68,-29.51,-67.57,,800,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,kingii,crit,29,NA,,,44.5,-45.41,-67.56,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,abaucan,crit,29,NA,,,47.3,-27.2499,-67.42391,,1200,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,laurenti,crit,29,NA,,,46.18,-30.1226,-67.4013,,800,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Sphaerodactylus,macrolepis,crit,27.6,NA,,,39.5,18.133393,-66.975063,,NA,Chordata,Reptilia,Squamata,Gekkonidae,terrestrial,Alvarez_1992,Sunday_et_al_PRSB_2011,Alvarez 1992 is a PhD thesis; but found the data in Martin and Huey 2008
Liolaemus,sp1,crit,29,NA,,,45,-37.3963,-67.1124,,1200,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_2005,Sunday_et_al_PNAS_2014,
Liolaemus,cuyanus,crit,29,NA,,,45.7,-28.18,-67.11,,400,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,chacoensis,crit,29,NA,,,44.1,-28.8017,-66.93978333,,700,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,pseudoanomalus,crit,29,NA,,,45.93,-28.8017,-66.93978333,,990,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Sphaerodactylus,nicholsi,crit,30.2,NA,,,40.5,18.133393,-66.975063,,NA,Chordata,Reptilia,Squamata,Gekkonidae,terrestrial,Alvarez_1992,Sunday_et_al_PRSB_2011,Alvarez 1992 is a PhD thesis; but found the data in Martin and Huey 2008
Sphaerodactylus,roosevelti,crit,30.2,NA,,,39.5,18.133393,-66.975063,,NA,Chordata,Reptilia,Squamata,Gekkonidae,terrestrial,Alvarez_1992,Sunday_et_al_PRSB_2011,Alvarez 1992 is a PhD thesis; but found the data in Martin and Huey 2008
Anolis,cooki,crit,NA,NA,,,38.8,18.1,-66.9,,0,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,Huey_unpubl._data,Sunday_et_al_PRSB_2011,acclimation is not provided in Huey et al 2009 data table; original work is not published
Liolaemus,robertmertensi,crit,29,NA,,,43,-28.80833333,-66.74216667,,690,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,scrocchi,crit,29,NA,,,43.91,-24.13516667,-66.67433333,,3200,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,koslowskyi,crit,29,NA,,,46.1,-28.8017,-66.56387,,800,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,irregularis,crit,29,NA,,,44.98,-24.25133333,-66.352,,3060,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,quilmes,crit,29,NA,,,44.69,-26.5936,-66.1649,,1600,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,scapularis,crit,29,NA,,,45.57,-26.5936,-66.1649,,1000,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,albiceps,crit,29,NA,,,44.33,-24.31723333,-66.15191667,,3060,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,sp3,crit,29,NA,,,43.85,-24.30526667,-66.15116667,,3350,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_2005,Sunday_et_al_PNAS_2014,
Anolis,gundlachi,crit,24.8,90,field_fresh,,35.7,18.241,-66.135,,350,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,Huey_1976,Sunday_et_al_PNAS_2014,acclimation was only 1 day; in most studies this is considered field-fresh; therefore changed acclimation data and used mean field body temp for acclimation temp
Anolis,cristatellus,crit,28,8,,,37.1,18.5,-66.135,,NA,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,Huey_1983,Sunday_et_al_PRSB_2011,found acclimation temp in original source
Sphaerodactylus,gaigeae,crit,27.6,NA,,,38.2,18.1,-65.89,,NA,Chordata,Reptilia,Squamata,Gekkonidae,terrestrial,Alvarez_1992,Sunday_et_al_PRSB_2011,Alvarez 1992 is a PhD thesis; but found the data in Martin and Huey 2008
Eleutherodactylus,coqui,crit,27,7,,,37.2,18.4,-65.8,,15,Chordata,Amphibia,Anura,Leptodactylidae,terrestrial,Christian_et_al_1988,Sunday_et_al_PRSB_2011,acc data on p.237
Eleutherodactylus,portoricensus,crit,20,7,,,36.3,18.31,-65.75,,500,Chordata,Amphibia,Anura,Leptodactylidae,terrestrial,Christian_1988,Sunday_et_al_PNAS_2014,
Sphaerodactylus,klauberi,crit,25.1,NA,,,36.3,18.1,-65.72,,NA,Chordata,Reptilia,Squamata,Gekkonidae,terrestrial,Alvarez_1992,Sunday_et_al_PRSB_2011,Alvarez 1992 is a PhD thesis; but found the data in Martin and Huey 2008
Sphaerodactylus,townsendi,crit,30.2,NA,,,41.7,18.305215,-65.757117,,NA,Chordata,Reptilia,Squamata,Gekkonidae,terrestrial,Alvarez_1992,Sunday_et_al_PRSB_2011,Alvarez 1992 is a PhD thesis; but found the data in Martin and Huey 2008
Liolaemus,xanthoviridis,crit,29,NA,,,44.48,-43.73838333,-65.5761,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,fitzingerii,crit,29,NA,,,44.45,-43.48536,-65.46557,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Liolaemus,cf_telsen,crit,29,NA,,,44.6,-42.3947,-64.59311,,400,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_2005,Sunday_et_al_PNAS_2014,
Liolaemus,boulengeri,crit,29,NA,,,43.99,-42.3947,-64.59311,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Cyprinodon,dearborni,leth,32,90,field_fresh,,35.7,18,-64.5,,0,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,marine,in_Brett_1970,Sunday_et_al_PRSB_2011,added acclimation as midpoint of field environmental range.
Rivulus,marmoratus,leth,30,90,field_fresh,,35.7,18,-64.5,,0,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,marine,in_Brett_1970,Sunday_et_al_PRSB_2011,added acclimation as midpoint of field environmental range.
Liolaemus,melanops,crit,29,NA,,,44.94,-42.26993,-64.0754,,900,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Clupea,herengus,leth,10,8,,,19.6,47,-63.67,,0,Chordata,Actinopterygii,Clupeiformes,Clupeidae,marine,Brawn_1960_in_Brett_1970,Sunday_et_al_PRSB_2011,change reference because previous data was for larvae; added acclimation
Saduria,entomon,leth,1.75,90,field_fresh,,25,65,-60,,0,Arthropoda,Malacostraca,Isopoda,Idoteidae,marine,Scholander_et_al1953,Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92,
Pachycara,brachycephalum,crit,0,8,lab,,10,-61.72,-59.2,,0,Chordata,Actinopterygii,Perciformes,Zoarcidae,marine,Van_Dijk_1999,Sunday_et_al_PRSB_2011,added acclimation and removed cold tolerance as artificial
Liolaemus,multimaculatus,crit,29,NA,,,43.83,-38.54,-58.55266667,,0,Chordata,Reptilia,Squamata,Tropiduridae,terrestrial,Cruz_et_al._2005,Sunday_et_al_PRSB_2011,
Limopsis,marionensis,leth,0,100,lab,,4,-75,-51,,0,Mollusca,Bivalvia,Arcoida,Limopsidae,marine,Portner_et_al_1999,Sunday_et_al_PRSB_2011,added acclimation - held for 9 years; so chose arbitrary high number of days
Liothyrella,uva,leth,0,30,lab,,4.5,-60.71,-45.6,,0,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,marine,Peck_1989,Sunday_et_al_PRSB_2011,added acclimation; specimens were kept on a ship from antarctica to UK at 0ïçC; so guessed 30 days; cold tolerance assumed; should be remvoed.
Hippolyte,obliquimanus,crit,29,90,field_fresh,,34.7,-23.8,-45.4,,0,Arthropoda,Malacostraca,Decapoda,Hippolytidae,marine,Vinagre_et_al2014,Journal_of_Thermal_Biology_47_19-25._2014,added acclimation; more species could be added from this study
Parablennius,marmoreus,crit,29,90,field_fresh,,36.6,-23.8,-45.4,,0,Chordata,Actinopterygii,Perciformes,Blenniidae,marine,Vinagre_et_al2014,Journal_of_Thermal_Biology_47_19-25._2014,added acclimation; more species could be added from this study
Tarentola,boettgeri,crit,23.5,7,,,42.6,27.929,-15.508,,0,Chordata,Reptilia,Squamata,Gekkonidae,terrestrial,Brown_1996,Sunday_et_al_PRSB_2011,p.398
Acar,domingensis,crit,24,90,field_fresh,,39,-7.89,-14.38,,0,Mollusca,Bivalvia,Arcoida,Arcidae,marine,Morley_et_al2016,"Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_",added acclimation; some more species from antarctica could be added
Echinometra,lucunter,crit,24,90,field_fresh,,37.1,-7.89,-14.38,,0,Echinodermata,Echinoidea,Echinoida,Echinometridae,marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added
Eucidaris,tribuloides,crit,24,90,field_fresh,,36,-7.89,-14.38,,0,Echinodermata,Echinoidea,Cidaroida,Cidaridae,marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added
Ophiostigma,abnorme,crit,24,90,field_fresh,,35.6,-7.89,-14.38,,0,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added
Crangon,crangon,crit,24,14,lab,,33.8,38,-9,,0,Arthropoda,Malacostraca,Decapoda,Crangonidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Dicentrarchus,labrax,crit,24,14,lab,,33.3,38,-9,,0,Chordata,Actinopterygii,Perciformes,Moronidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Diplodus,bellottii,crit,24,14,lab,,27.38,38,-9,,0,Chordata,Actinopterygii,Spariformes,Sparidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Diplodus,sargus,crit,24,14,lab,,33.8,38,-9,,0,Chordata,Actinopterygii,Spariformes,Sparidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Diplodus,vulgaris,crit,24,14,lab,,31.1,38,-9,,0,Chordata,Actinopterygii,Spariformes,Sparidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Gobius,niger,crit,24,14,lab,,34.1,38,-9,,0,Chordata,Actinopterygii,Perciformes,Gobiidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Liocarcinus,marmoreus,crit,24,14,lab,,32.2,38,-9,,0,Arthropoda,Malacostraca,Decapoda,Polybiidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Lipophrys,trigloides,crit,24,14,lab,,33.8,38,-9,,0,Chordata,Actinopterygii,Perciformes,Blenniidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Liza,ramada,crit,24,14,lab,,38,38,-9,,0,Chordata,Actinopterygii,Mugiliformes,Mugilidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Palaemon,longirostris,crit,24,14,lab,,34.4,38,-9,,0,Arthropoda,Malacostraca,Decapoda,Palaemonidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Pegusa,lascaris,crit,24,14,lab,,32.9,38,-9,,0,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,marine,Madeira_et_al2012,Journal_of_Sea_Research_70_(2012)_32_41,added acclimation
Psammodromus,algirus,crit,35,NA,,,43.5,40.6,-5.9,,NA,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Bauwens_et_al._1995,Sunday_et_al_PRSB_2011,
Psammodromus,hispanicus,crit,35,NA,,,45.5,40.4,-4.3,,NA,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Bauwens_et_al._1995,Sunday_et_al_PRSB_2011,
Podarcis,muralis,crit,35,NA,,,44.21,40.7,-4.1,,NA,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Bauwens_et_al._1995,Sunday_et_al_PRSB_2011,
Proformica,ferreri,crit,20,NA,,,50.4,37.2,-3.6,,900,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Fernandez_Escudero1998,Sunday_et_al_PNAS_2014,
