Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat,lon,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,habitat,citation,citation_details_or_paper_in_which_data_were_compiled,notes.2017
Proformica,longiseta,crit,20,NA,,,51.1,37.2,-3.6,,2400,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Fernandez_Escudero1998,Sunday_et_al_PNAS_2014,
Aphanenogaster,senilis,crit,20,NA,,,46,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Camponotus,cruentatus,crit,20,NA,,,48,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Camponotus,slyvaticus,crit,20,NA,,,46,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Cataglyphis,cursor,crit,20,NA,,,50,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Messor,bouvieri,crit,20,NA,,,44,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Messor,capitatus,crit,20,NA,,,44,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Pheidole,pallldula,crit,20,NA,,,40,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Plagiolepis,pygmaea,crit,20,NA,,,40,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Tetromorium,nigerrimum,crit,20,NA,,,42,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Tetromorium,semilaeve,crit,20,NA,,,40,41.296,2.09,,50,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Cerda_2002,Sunday_et_al_PNAS_2014,
Lacerta,agilis,crit,35,NA,,,43.9,51.8,5.9,,NA,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Bauwens_et_al._1995,Sunday_et_al_PRSB_2011,
Onymacris,bicolor,crit,35,NA,,,49,-23.621981,15.216622,,NA,Arthropoda,Insecta,Coleoptera,Tenebrionidae,terrestrial,Roberts_et_al_1991,Sunday_et_al_PRSB_2011,
Onymacris,marginipennis,crit,35,NA,,,47.4,-23.621981,15.216622,,NA,Arthropoda,Insecta,Coleoptera,Tenebrionidae,terrestrial,Roberts_et_al_1991,Sunday_et_al_PRSB_2011,
Onymacris,plana,crit,35,NA,,,48.9,-23.621981,15.216622,,NA,Arthropoda,Insecta,Coleoptera,Tenebrionidae,terrestrial,Roberts_et_al_1991,Sunday_et_al_PRSB_2011,
Onymacris,rugatipennis,crit,35,NA,,,50.5,-23.621981,15.216622,,NA,Arthropoda,Insecta,Coleoptera,Tenebrionidae,terrestrial,Roberts_et_al_1991,Sunday_et_al_PRSB_2011,
Onymacris,unguicularis,crit,35,NA,,,50.4,-23.621981,15.216622,,NA,Arthropoda,Insecta,Coleoptera,Tenebrionidae,terrestrial,Roberts_et_al_1991,Sunday_et_al_PRSB_2011,
Physadesmia,globosa,crit,35,NA,,,50.8,-23.621981,15.216622,,NA,Arthropoda,Insecta,Coleoptera,Tenebrionidae,terrestrial,Roberts_et_al_1991,Sunday_et_al_PRSB_2011,
Agroeca,proxima,crit,15,NA,,,37.4,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Liocranidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Clubiona,similis,crit,15,NA,,,42,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Clubionidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Clubiona,trivialis,crit,15,NA,,,41.4,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Clubionidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Dipoena,inornata,crit,15,NA,,,43.2,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Theridiidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Oedothorax,apicatus,crit,15,NA,,,40.4,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Linyphiidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Pardosa,nigriceps,crit,15,NA,,,39.7,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Lycosidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Philodromus,aureolus,crit,15,NA,,,42.1,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Philodromidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Scotina,gracilipes,crit,15,NA,,,41.4,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Liocranidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Stemonyphantes,lineatus,crit,15,NA,,,40.5,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Linyphiidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Tibellus,oblongus,crit,15,NA,,,42.8,55.4,14.19,,3,Arthropoda,Arachnida,Araneae,Philodromidae,terrestrial,Almquist_1970,Sunday_et_al_PRSB_2011,
Zootoca,vivipara,crit,NA,90,field_fresh,,43.9,49.88,17.5,,250,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Gvozdik_and_Castilla_2001,Sunday_et_al_PRSB_2011,Specimens were field fresh from the summer; no field temperature data given; therefore removed acc data
Gonocephalum,simplex,crit,NA,NA,field_fresh,summer,49.5,-32.919,18.226,,0,Arthropoda,Insecta,Coleoptera,Tenebrionidae,terrestrial,Klok_2004,Sunday_et_al_PNAS_2014,samples were field fresh but no field temps given
Linepithema,humile,crit,25,NA,,,40,-33.848371,18.859043,,136,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Jumbam_et_al_2008b,Sunday_et_al_PRSB_2011,I think this is outside of native range
Chirodica,chalcoptera,crit,19,14,,,41,-33.6,19,,350,Arthropoda,Insecta,Coleoptera,Chrysomelidae,terrestrial,Terblanche_et_al_2005,Sunday_et_al_PRSB_2011,
Bullia,rhodostoma,leth,17.5,90,field_fresh,,34.7,-33.9,25.6,,0,Mollusca,Gastropoda,Neogastropoda,Nassariidae,marine,Ansell_&_McLachlan_1980,Journal_of_Experimental_Marine_Biology_and_Ecology_48(3):243-251,added acclimation as midpoint of environmental range
Donax,serra,leth,17.5,90,field_fresh,,33,-33.9,25.6,,0,Mollusca,Bivalvia,Veneroida,Donacidae,marine,Ansell_&_McLachlan_1980,Journal_of_Experimental_Marine_Biology_and_Ecology_48(3):243-251,added acclimation as midpoint of environmental range
Donax,sordidus,leth,17.5,90,field_fresh,,35,-33.9,25.6,,0,Mollusca,Bivalvia,Veneroida,Donacidae,marine,Ansell_&_McLachlan_1980,Journal_of_Experimental_Marine_Biology_and_Ecology_48(3):243-251,added acclimation as midpoint of environmental range
Hodotermes,mossambicus,crit,35,15,,,48,-28,28,,NA,Arthropoda,Insecta,Isoptera,Hodotermitidae,terrestrial,Mitchell_et._al._1993,Sunday_et_al_PRSB_2011,added acclimation data
Hemachatus,haemachatus,crit,25,NA,,,43.1,-26.14,28.25,,1600,Chordata,Reptilia,Squamata,Elapidae,terrestrial,Alexander_1999,Sunday_et_al_PNAS_2014,
Imbrasia,belina,crit,30,NA,,,43.1,-28,28.8,,NA,Arthropoda,Insecta,Lepidoptera,Saturniidae,terrestrial,Frears_et_al_1997,Sunday_et_al_PRSB_2011,
Platysaurus,intermedius_wilhelmi,crit,25,NA,,,44.8,-24.58,31.18,,640,Chordata,Reptilia,Squamata,Cordylidae,terrestrial,Lailvaux_2003,Sunday_et_al_PNAS_2014,
Laudakia,stellio,crit,30,NA,,,44.6,30.8,34.5,,170,Chordata,Reptilia,Squamata,Agamidae,terrestrial,Hertz_et_al._1983,Sunday_et_al_PRSB_2011,
Trapelus,savignyi,crit,30,12,,,47.2,31.1,34.8,,330,Chordata,Reptilia,Squamata,Agamidae,terrestrial,Hertz_et_al._1983,Sunday_et_al_PRSB_2011,Acclimation data add. Citation is: Hertz P.E. R.B. Huey and E. Nevo. 1983. Homage to Santa Anita: Thermal Sensitivity of Sprint Speed in Agamid Lizards. Evolution; 37: 1075-1084.
Chamaeleo,ellioti,crit,30.3,90,field_fresh,,41.8,0.210382,35.1,,1800,Chordata,Reptilia,Squamata,Chamaeleonidae,terrestrial,Bennett_2004,Sunday_et_al_PRSB_2011,considered field_fresh and field temp assumed from body temp assesments in field prior to experiment.
Chamaeleo,bitaeniatus,crit,28.6,90,field_fresh,,42.1,1.226387,36.26,,2000,Chordata,Reptilia,Squamata,Chamaeleonidae,terrestrial,Bennett_2004,Sunday_et_al_PRSB_2011,considered field_fresh and field temp assumed from body temp assesments in field prior to experiment.
Chamaeleo,hohnelii,crit,30.1,90,field_fresh,,40.8,-1.274359,36.8,,1700,Chordata,Reptilia,Squamata,Chamaeleonidae,terrestrial,Bennett_2004,Sunday_et_al_PRSB_2011,considered field_fresh and field temp assumed from body temp assesments in field prior to experiment.
Chamaeleo,jacksonii,crit,29.2,90,field_fresh,,41,-1.274359,36.8,,1700,Chordata,Reptilia,Squamata,Chamaeleonidae,terrestrial,Bennett_2004,Sunday_et_al_PRSB_2011,considered field_fresh and field temp assumed from body temp assesments in field prior to experiment.
Chamaeleo,schubotzi,crit,19.1,90,field_fresh,,41.6,-0.154284,37.3,,3300,Chordata,Reptilia,Squamata,Chamaeleonidae,terrestrial,Bennett_2004,Sunday_et_al_PRSB_2011,considered field_fresh and field temp assumed from body temp assesments in field prior to experiment.
Myro,kerguelenensis,crit,15,7,,,35.4,-46.9,37.7,Marion,99,Arthropoda,Arachnida,Araneae,Desidae,terrestrial,Jumbam_et_al_2008,Sunday_et_al_PRSB_2011,
Ectemnorhinus,marioni,crit,15,7,,,38.2,-46.8,37.7,Marion,600,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,acclimation data added
Ectemnorhinus,similis,crit,15,7,,,39.3,-46.8,37.7,Marion,600,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,acclimation data added
Palirhoeus,eatoni,crit,15,7,,,36.5,-46.8,37.7,Marion,5,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,acclimation data added
Bothrometopus,parvulus,crit,15,7,,,36.3,-46.8,37.7,Marion,0,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,van_der_Merwe_et_al_1997,Sunday_et_al_PRSB_2011,original ciation was: van der Merwe; M.; S.L. Chown; and V.R. Smith. Thermal tolerance limits in six weevil species (Coleoptera; Curculionidae) from sub-Antarctic Marion Island. Polar Biol (1997) 18: 331-336.  BUT JS replaced with better data from: Klok CJ and Chown SL. Biological Journal of the Linnean Society 2003 78 401_414.
Bothrometopus,randi,crit,15,7,,,37.7,-46.9,37.7,Marion,0,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,van_der_Merwe_et_al_1997,Sunday_et_al_PRSB_2011,original ciation was: van der Merwe; M.; S.L. Chown; and V.R. Smith. Thermal tolerance limits in six weevil species (Coleoptera; Curculionidae) from sub-Antarctic Marion Island. Polar Biol (1997) 18: 331-336.  BUT JS replaced with better data from: Klok CJ and Chown SL. Biological Journal of the Linnean Society 2003 78 401_414.
Paractora,dreuxi,crit,10,NA,,,35.5,-46.9,37.8,Marion,99,Arthropoda,Insecta,Diptera,Helcomyzidae,terrestrial,Klok_and_Chown_2001,Sunday_et_al_PRSB_2011,
Bothrometopus,elongatus,crit,15,7,,,37.6,-46.9,37.8,Marion,150,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,original ciation was: van der Merwe; M.; S.L. Chown; and V.R. Smith. Thermal tolerance limits in six weevil species (Coleoptera; Curculionidae) from sub-Antarctic Marion Island. Polar Biol (1997) 18: 331-336.  BUT JS replaced with better data from: Klok CJ and Chown SL. Biological Journal of the Linnean Society 2003 78 401_414.
Antarctopsocus,jeanneli,crit,5.7,90,field_fresh,,29.5,-46.9,37.8,Marion,99,Arthropoda,Insecta,Psocoptera,Elipsocidae,terrestrial,Slabber_and_Chown_2004,Sunday_et_al_PRSB_2011,"checked data; field fresh is better for tmax. Season of collection not reported; therefore used mean annual temp around which there is """"""""little variation"""""""" as given in the methods."
Halmaeusa,atriceps,crit,20,7,,,32.3,-46.9,37.8,Marion,99,Arthropoda,Insecta,Coleoptera,Staphylinidae,terrestrial,Slabber_and_Chown_2005,Sunday_et_al_PRSB_2011,
Chamaeleo,dilepis,crit,31.7,90,field_fresh,,43.6,-2.413422,37.9,,800,Chordata,Reptilia,Squamata,Chamaeleonidae,terrestrial,Bennett_2004,Sunday_et_al_PRSB_2011,considered field_fresh and field temp assumed from body temp assesments in field prior to experiment.
Halozetes,fulvus,leth,15,7,,,39.9,-46.9,37.9,Marion,0,Arthropoda,Arachnida,Acarina,Oribatidae,terrestrial,Deere_et_al_2006,Sunday_et_al_PRSB_2011,p.696
Podacarus,auberti,leth,15,7,,,39.5,-46.9,37.9,Marion,0,Arthropoda,Arachnida,Acari,Podacaridae,terrestrial,Deere_et_al_2006,Sunday_et_al_PRSB_2011,
Glossina,pallidipes,crit,30,NA,,,44.3,-13.03,31.45,,388,Arthropoda,Insecta,Diptera,Glossinidae,terrestrial,Terblanche_et_al_2008,Sunday_et_al_PRSB_2011,
Bothrometopus,brevis,crit,7.5,7,,,34.7,-53.05742,73.549233,Heard,5,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,citation: Klok CJ and Chown SL. Biological Journal of the Linnean Society 2003 78 401_414. NOW ENTERED
Bothrometopus,gracilipes,crit,7.5,7,,,34.1,-53.05742,73.549233,Heard,200,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,citation: Klok CJ and Chown SL. Biological Journal of the Linnean Society 2003 78 401_414. NOW ENTERED
Canonopsis,sericeus,crit,7.5,7,,,38.6,-53.05742,73.549233,Heard,5,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,citation: Klok CJ and Chown SL. Biological Journal of the Linnean Society 2003 78 401_414. NOW ENTERED
Ectemnorhinus,viridis,crit,7.5,7,,,34.2,-53.05742,73.549233,Heard,300,Arthropoda,Insecta,Coleoptera,Curculionidae,terrestrial,Klok_and_Chown_2003,Sunday_et_al_PRSB_2011,acclimation data added
Plethodon,glutinosus,crit,25,NA,,,34.5,40.78,75.28,,1100,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,Elwood_2003,Sunday_et_al_PNAS_2014,
Eremias,multiocellata,crit,28,NA,,,41,41.4,106.9,,1000,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Li_2009,Sunday_et_al_PNAS_2014,
Eremias,argus,crit,28,NA,,,43,36.1,111.5,,467,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Li_2009,Sunday_et_al_PNAS_2014,
Paa,spinosa,crit,19,NA,,,42.1,24.48,112.63,,20,Chordata,Amphibia,Anura,Ranidae,terrestrial,Zheng_2010,Sunday_et_al_PNAS_2014,
Takydromus,sexlineatus,crit,31.5,14,,,42.2,24.7,113.6,,28,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Zhang_and_Ji_2004,Sunday_et_al_PRSB_2011,"Selected body temp (Tsel) experiment was conducted before Tmax, so used Tsel as acclimation. Assuming bulb set up was kept between experiments (so acclimation was at least 14 days)."
Eremias,brenchleyi,crit,28,2,,,40.8,33.6,117.02,,4,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Xu_and_Ji_2001,Sunday_et_al_PRSB_2011,acclimation data added
Plestiodon,elegans,crit,28,7,,,41.9,30.3,120.15,,18,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Du_2000,Sunday_et_al_PRSB_2011,acclimation data added; kept in temperature gradient for >7days prior - so presume acclimation temp is same as selected temp acquired within this paper.
Eumeces,elegans,crit,28,NA,,,41.9,30.2,120.2,,18,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Du_2000,Sunday_et_al_PNAS_2014,
Trimeresurus,gracilis,crit,30,NA,,,38.3,23.9,120.7,,2000,Chordata,Reptilia,Squamata,Viperidae,terrestrial,Huang_2007b,Sunday_et_al_PRSB_2011,
Protobothrops,mucrosquamatus,crit,10,NA,,,38.6,23.8,121,,0,Chordata,Reptilia,Squamata,Viperidae,terrestrial,Huang_et_al_2007,Sunday_et_al_PRSB_2011,
Takydromus,hsuehshanensis,crit,30,NA,,,44.1,24.1,121.3,,2900,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Huang_2008,Sunday_et_al_PNAS_2014,
Sphenomorphus,taiwanensis,crit,30,NA,,,38.4,24,121.3,,2700,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Huang_et_al_2006,Sunday_et_al_PRSB_2011,
Trimeresurus,stejnegeri_stejnegeri,crit,30,14,,,38.9,24.7,121.5,,0,Chordata,Reptilia,Squamata,Viperidae,terrestrial,Huang_et_al_2007,Sunday_et_al_PRSB_2011,p.594: Huang et al 2007: Zoological Studies 46(5): 592-599 (2007)
Takydromus,formosanus,crit,30,NA,,,43.7,25.04,121.53,,0,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Huang_2008,Sunday_et_al_PNAS_2014,
Takydromus,stejnegeri,crit,30,NA,,,43.2,25.04,121.53,,0,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Huang_2008,Sunday_et_al_PNAS_2014,
Sphenomorphus,incognitus,crit,30,NA,,,41.5,22.904417,121.204998,,0,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Huang_et_al_2006,Sunday_et_al_PRSB_2011,
Bathygobius,sp2,crit,30.4,90,field_fresh,,41.6,-5.7,123.7,,0,Chordata,Actinopterygii,Perciformes,Gobiidae,marine,Taylor_et_al_2005,Sunday_et_al_PRSB_2011,
Drosophila,bipectinata,leth,23,8,,,33.5,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,bocki,leth,23,8,,,33.2,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,elegans,leth,23,8,,,33.6,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,ficusphila,leth,23,8,,,33.5,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,lacteicornis,leth,23,8,,,32.5,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,quadrilineata,leth,23,8,,,33.9,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,ruberrima,leth,23,8,,,32.1,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,takahashii,leth,23,8,,,32.5,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Scaptodrosophila,bryani,leth,23,8,,,35.5,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Scaptodrosophila,coracina,leth,23,8,,,34.5,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Scaptodrosophila,dorsocentralis,leth,23,8,,,34.2,24.331864,123.820935,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Bathygobius,fuscus,crit,35,14,lab,,42.4,-5.45,124,,0,Chordata,Actinopterygii,Perciformes,Gobiidae,marine,Eme_and_Bennett_2009,Sunday_et_al_PRSB_2011,corrected the years of the citation
Liza,vaigiensis,crit,35,14,lab,,44.5,-5.45,124,,0,Chordata,Actinopterygii,Mugiliformes,Mugilidae,marine,Eme_and_Bennett_2009,Sunday_et_al_PRSB_2011,corrected the years of the citation
Dascyllus,aruanus,crit,30,14,lab,,40.5,-5.45,124,,0,Chordata,Actinopterygii,Perciformes,Pomacentridae,marine,Eme_and_Bennett_2009,Sunday_et_al_PRSB_2011,corrected the years of the citation
Apogon,novemfasciatus,crit,30,14,lab,,40.1,-5.45,124,,0,Chordata,Actinopterygii,Perciformes,Apogonidae,marine,Eme_and_Bennett_2009,Sunday_et_al_PRSB_2011,corrected the years of the citation
Melophorus,bagoti,crit,40,NA,,,56.7,-23.7,133.88,,608,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Christian_Morton1992,Sunday_et_al_PNAS_2014,
Engraulis,japonicus,leth,NA,NA,,,32,34.9,138.6,,0,Chordata,Actinopterygii,Clupeiformes,Engraulidae,marine,Suehiro_1951_in_Brett_1970,Sunday_et_al_PRSB_2011,
Sardinops,melanosticta,leth,NA,NA,,,30,34.9,138.6,,0,Chordata,Actinopterygii,Clupeiformes,Clupeidae,marine,Suehiro_1951_in_Brett_1970,Sunday_et_al_PRSB_2011,
Egernia,striola,crit,25,NA,,,44.2,-34.57,139.57,,0,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Bennett_1986,Sunday_et_al_PNAS_2014,
Eremiascincus,richardsoni,crit,25,NA,,,42,-34.57,139.57,,0,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Bennett_1986,Sunday_et_al_PNAS_2014,
Ctenotus,taeniolatus,crit,35,NA,,,44.7,-34.57,139.57,,0,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Bennett_and_John-Alder_1986,Sunday_et_al_PRSB_2011,
Ctenotus,uber,crit,35,NA,,,45.5,-34.57,139.57,,0,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Bennett_and_John-Alder_1986,Sunday_et_al_PRSB_2011,
Drosophila,angularis,leth,23,8,,,34.4,35.594573,139.721364,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,bizonata,leth,23,8,,,32.9,35.594573,139.721364,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,daruma,leth,23,8,,,33.4,35.028846,135.796642,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,p.444: Field-collected females were allowed to oviposit on food medium at 23çC under long-day conditions (15 h light; 9 h dark); and their progenies were examined for cold and heat tolerance 8 days after eclosion without acclimation
Drosophila,lutescens,leth,23,8,,,31.1,35.594573,139.721364,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,rufa,leth,23,8,,,32.9,35.594573,139.721364,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,sternopleuralis,leth,23,8,,,31.4,35.594573,139.721364,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,suzukii,leth,23,8,,,32.7,35.594573,139.721364,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Eremiascincus,fasciolatus,crit,35,NA,,,41.2,-27.75,140.72,,NA,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Bennett_and_John-Alder_1986,Sunday_et_al_PRSB_2011,
Drosophila,auraria,leth,23,8,,,33.9,43.115593,141.444655,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,biauraria,leth,23,8,,,32.5,43.115593,141.444655,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,brachynephros,leth,23,8,,,33.6,43.115593,141.444655,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,curvispina,leth,23,8,,,32.6,43.115593,141.444655,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,kanekoi,leth,23,8,,,35.4,43.115593,141.444655,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
Drosophila,lacertosa,leth,23,8,,,31,43.115593,141.444655,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,terrestrial,Kimura_2004,Sunday_et_al_PRSB_2011,
